id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
1786|Chevillotte|Jean, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1786|3|2|1838|6|5|1914
8058|Chevreau|Léon, Théophile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8058|22|10|1827|16|3|1910
1787|Chevreau|Julien, Henri|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1787|27|4|1823|26|5|1903
1802|Chollet|André, Florimond|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1802|20|11|1830|3|9|1911
1818|Christophle|Albert, Silas, Médéric, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1818|13|7|1830|23|1|1904
1822|Cibiel|Alfred, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1822|11|5|1841|14|7|1914
4131|Cillard de Kermenguy|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4131|1|12|1810|27|11|1893
1840|Clauzel|Jean-Marie, Albin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1840|17|6|1842|24|1|1893
1844|Clemenceau|Georges, Eugène, Benjamin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1844|28|9|1841|24|11|1929
1862|Cluseret|Gustave, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1862|13|6|1823|22|7|1900
1869|Cochery|Georges, Charles, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1869|20|3|1855|8|7|1914
7924|Cochery|Adolphe, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7924|26|7|1819|13|10|1900
7925|Colfavru|Jean-Claude|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7925|1|12|1820|18|5|1891
7926|Compayré|Gabriel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7926|2|1|1843|23|3|1913
6218|Conen de Saint-Luc|Gaston|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/6218|15|4|1840|20|11|1920
1942|Constans|Ernest, Jean, Antoine|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1942|3|5|1833|7|4|1913
1960|Cordier|Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1960|16|1|1844|25|12|1919
1968|Corneau|Emile, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1968|19|7|1826|10|2|1906
1978|Cornudet des Chaumettes|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1978|19|2|1855|2|9|1921
2042|Cousset|Camille|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2042|16|1|1833|12|7|1895
2063|Crémieux|Fernand, Josué|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2063|15|12|1857|26|11|1928
7927|Creuzé|Georges, Adrien, Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7927|21|1|1845|29|11|1919
7928|Crozet-Fourneyron|Emile|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7928|22|4|1837|19|2|1909
5612|Cunéo d'Ornano|Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5612|15|11|1845|17|5|1906
2855|d'Estourmel|Marie, Reimbold|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2855|16|1|1841|25|5|1902
2120|Danelle-Bernardin|Jean-Baptiste, Fernand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2120|16|9|1826|21|2|1916
7977|Daniel-Lamazière|Jean-Baptiste, Guillaume|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7977|6|3|1812|24|10|1906
7893|Dariste dit d'Ariste|Paul, Eugène, Augustin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7893|13|10|1845|19|6|1924
2160|Daumas|Augustin, Honoré|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2160|25|5|1826|11|1|1896
